AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	dev_stage_s	geo_loc_name_s	tissue_s
103	SAMN04498155	SRX1610977	DNA library 108	2016-03-02	6355	3062	Brassica rapa	2016-03-04	SRR3201284	SRS1320269	Brassica rapa SamA_108	Pak choi 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498156	SRX1610978	DNA library 109	2016-03-02	1447	911	Brassica rapa	2016-03-04	SRR3201285	SRS1320270	Brassica rapa SamA_109	Pak choi 9	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498157	SRX1610979	DNA library 110	2016-03-15	2112	1396	Brassica rapa	2016-03-04	SRR3201288	SRS1320271	Brassica rapa SamA_110	Pak choi 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
135	SAMN04498059	SRX1610980	DNA library 12	2016-03-16	2590	1583	Brassica rapa	2016-03-04	SRR3201289	SRS1320272	Brassica rapa SamA_012	Chinese cabbage 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498158	SRX1610981	DNA library 111	2016-03-16	2469	1664	Brassica rapa	2016-03-04	SRR3201290	SRS1320273	Brassica rapa SamA_111	Pak choi 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498159	SRX1610985	DNA library 112	2016-03-16	2343	1496	Brassica rapa	2016-03-04	SRR3201294	SRS1320277	Brassica rapa SamA_112	Pak choi 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498160	SRX1610986	DNA library 113	2016-03-16	2328	1493	Brassica rapa	2016-03-04	SRR3201295	SRS1320278	Brassica rapa SamA_113	Pak choi 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498161	SRX1610987	DNA library 114	2016-03-16	2222	1463	Brassica rapa	2016-03-04	SRR3201296	SRS1320279	Brassica rapa SamA_114	Pak choi 14	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498162	SRX1610989	DNA library 115	2016-03-03	3834	2381	Brassica rapa	2016-03-04	SRR3201298	SRS1320281	Brassica rapa SamA_115	Pak choi 15	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
150	SAMN04498163	SRX1610990	DNA library 116	2016-03-02	2259	1479	Brassica rapa	2016-03-04	SRR3201299	SRS1320282	Brassica rapa SamA_116	Pak choi 16	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498164	SRX1610991	DNA library 117	2016-03-02	2636	1605	Brassica rapa	2016-03-04	SRR3201300	SRS1320283	Brassica rapa SamA_117	Pak choi 17	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498165	SRX1610993	DNA library 118	2016-03-02	2524	1662	Brassica rapa	2016-03-04	SRR3201302	SRS1320284	Brassica rapa SamA_118	Pak choi 18	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
149	SAMN04498166	SRX1610994	DNA library 119	2016-03-02	2467	1639	Brassica rapa	2016-03-04	SRR3201303	SRS1320285	Brassica rapa SamA_119	Pak choi 19	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498167	SRX1610995	DNA library 120	2016-03-02	1866	1216	Brassica rapa	2016-03-04	SRR3201304	SRS1320286	Brassica rapa SamA_120	Pak choi 20	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498060	SRX1610998	DNA library 13	2016-03-02	2772	1733	Brassica rapa	2016-03-04	SRR3201305	SRS1320289	Brassica rapa SamA_013	Chinese cabbage 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
147	SAMN04498168	SRX1610999	DNA library 121	2016-03-03	2424	1557	Brassica rapa	2016-03-04	SRR3201307	SRS1320290	Brassica rapa SamA_121	Pak choi 21	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498169	SRX1611000	DNA library 122	2016-03-02	2334	1491	Brassica rapa	2016-03-04	SRR3201309	SRS1320291	Brassica rapa SamA_122	Pak choi 22	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498170	SRX1611001	DNA library 123	2016-03-02	2051	1329	Brassica rapa	2016-03-04	SRR3201310	SRS1320292	Brassica rapa SamA_123	Pak choi 23	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498171	SRX1611002	DNA library 124	2016-03-03	2161	1502	Brassica rapa	2016-03-04	SRR3201311	SRS1320293	Brassica rapa SamA_124	Pak choi 24	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498172	SRX1611044	DNA library 125	2016-03-03	2631	1753	Brassica rapa	2016-03-04	SRR3201318	SRS1320336	Brassica rapa SamA_125	Pak choi 25	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498173	SRX1611045	DNA library 126	2016-03-03	1682	1015	Brassica rapa	2016-03-04	SRR3201319	SRS1320337	Brassica rapa SamA_126	Wutacai 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
145	SAMN04498174	SRX1611047	DNA library 127	2016-03-03	2625	1515	Brassica rapa	2016-03-04	SRR3201321	SRS1320339	Brassica rapa SamA_127	Wutacai 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498175	SRX1611048	DNA library 128	2016-03-03	1843	1108	Brassica rapa	2016-03-04	SRR3201322	SRS1320341	Brassica rapa SamA_128	Wutacai 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
149	SAMN04498176	SRX1611049	DNA library 129	2016-03-03	2453	1689	Brassica rapa	2016-03-04	SRR3201325	SRS1320342	Brassica rapa SamA_129	Wutacai 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498177	SRX1611050	DNA library 130	2016-03-03	2206	1371	Brassica rapa	2016-03-04	SRR3201327	SRS1320343	Brassica rapa SamA_130	Wutacai 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
146	SAMN04498061	SRX1611051	DNA library 14	2016-03-03	2023	1249	Brassica rapa	2016-03-04	SRR3201330	SRS1320344	Brassica rapa SamA_014	Chinese cabbage 14	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498178	SRX1611053	DNA library 131	2016-03-03	5094	3085	Brassica rapa	2016-03-04	SRR3201341	SRS1320353	Brassica rapa SamA_131	Wutacai 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
142	SAMN04498179	SRX1611054	DNA library 132	2016-03-03	2177	1354	Brassica rapa	2016-03-04	SRR3201383	SRS1320357	Brassica rapa SamA_132	Wutacai 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498180	SRX1611056	DNA library 133	2016-03-03	2561	1553	Brassica rapa	2016-03-04	SRR3201384	SRS1320364	Brassica rapa SamA_133	Caixin 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498181	SRX1611057	DNA library 134	2016-03-03	3723	1519	Brassica rapa	2016-03-04	SRR3201385	SRS1320367	Brassica rapa SamA_134	Caixin 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498182	SRX1611058	DNA library 135	2016-03-03	5495	2242	Brassica rapa	2016-03-04	SRR3201386	SRS1320368	Brassica rapa SamA_135	Caixin 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498183	SRX1611061	DNA library 136	2016-03-03	7124	2927	Brassica rapa	2016-03-04	SRR3201388	SRS1320371	Brassica rapa SamA_136	Caixin 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498184	SRX1611062	DNA library 137	2016-03-03	4593	1865	Brassica rapa	2016-03-04	SRR3201410	SRS1320372	Brassica rapa SamA_137	Caixin 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498185	SRX1611063	DNA library 138	2016-03-03	4384	1781	Brassica rapa	2016-03-04	SRR3201411	SRS1320373	Brassica rapa SamA_138	Caixin 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498186	SRX1611064	DNA library 139	2016-03-03	4509	1856	Brassica rapa	2016-03-04	SRR3201412	SRS1320374	Brassica rapa SamA_139	Caixin 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498187	SRX1611066	DNA library 140	2016-03-03	7745	3174	Brassica rapa	2016-03-04	SRR3201413	SRS1320375	Brassica rapa SamA_140	Caixin 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
147	SAMN04498062	SRX1611068	DNA library 15	2016-03-03	2327	1487	Brassica rapa	2016-03-04	SRR3201414	SRS1320378	Brassica rapa SamA_015	Chinese cabbage 15	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498188	SRX1611072	DNA library 141	2016-03-03	4803	1983	Brassica rapa	2016-03-04	SRR3201417	SRS1320384	Brassica rapa SamA_141	Caixin 9	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
285	SAMN04498189	SRX1611077	DNA library 142	2016-03-03	4578	1903	Brassica rapa	2016-03-04	SRR3201418	SRS1320393	Brassica rapa SamA_142	Caixin 10	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498190	SRX1611111	DNA library 143	2016-03-03	5805	2394	Brassica rapa	2016-03-04	SRR3201425	SRS1320419	Brassica rapa SamA_143	Caixin 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
290	SAMN04498191	SRX1611112	DNA library 144	2016-03-03	5552	2286	Brassica rapa	2016-03-04	SRR3201426	SRS1320422	Brassica rapa SamA_144	Caixin 12	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498192	SRX1611113	DNA library 145	2016-03-03	3905	1616	Brassica rapa	2016-03-04	SRR3201428	SRS1320423	Brassica rapa SamA_145	Caixin 13	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498194	SRX1611115	DNA library 147	2016-03-03	4929	2041	Brassica rapa	2016-03-04	SRR3201434	SRS1320424	Brassica rapa SamA_147	Caixin 15	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498193	SRX1611114	DNA library 146	2016-03-03	5253	2164	Brassica rapa	2016-03-04	SRR3201433	SRS1320425	Brassica rapa SamA_146	Caixin 14	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498196	SRX1611117	DNA library 149	2016-03-03	5183	2047	Brassica rapa	2016-03-04	SRR3201437	SRS1320426	Brassica rapa SamA_149	Caixin 17	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
291	SAMN04498195	SRX1611116	DNA library 148	2016-03-03	6169	2538	Brassica rapa	2016-03-04	SRR3201436	SRS1320427	Brassica rapa SamA_148	Caixin 16	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
145	SAMN04498063	SRX1611119	DNA library 16	2016-03-03	2447	1531	Brassica rapa	2016-03-04	SRR3201473	SRS1320428	Brassica rapa SamA_016	Chinese cabbage 16	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498197	SRX1611118	DNA library 150	2016-03-03	4515	1783	Brassica rapa	2016-03-04	SRR3201471	SRS1320429	Brassica rapa SamA_150	Caixin 18	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
291	SAMN04498198	SRX1611120	DNA library 151	2016-03-03	5558	2174	Brassica rapa	2016-03-04	SRR3201494	SRS1320430	Brassica rapa SamA_151	Caixin 19	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
294	SAMN04498199	SRX1611121	DNA library 152	2016-03-03	8975	3488	Brassica rapa	2016-03-04	SRR3201499	SRS1320431	Brassica rapa SamA_152	Caixin 20	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498200	SRX1611122	DNA library 153	2016-03-03	6660	2603	Brassica rapa	2016-03-04	SRR3201500	SRS1320432	Brassica rapa SamA_153	Caixin 21	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
291	SAMN04498201	SRX1611123	DNA library 154	2016-03-03	6241	2476	Brassica rapa	2016-03-04	SRR3201501	SRS1320433	Brassica rapa SamA_154	Caixin 22	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498202	SRX1611162	DNA library 155	2016-03-03	4631	1871	Brassica rapa	2016-03-04	SRR3201502	SRS1320473	Brassica rapa SamA_155	Caixin 23	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498203	SRX1611169	DNA library 156	2016-03-03	4571	1876	Brassica rapa	2016-03-04	SRR3201505	SRS1320481	Brassica rapa SamA_156	Caixin 24	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
287	SAMN04498204	SRX1611177	DNA library 157	2016-03-03	4720	1940	Brassica rapa	2016-03-04	SRR3201508	SRS1320488	Brassica rapa SamA_157	Caixin 25	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498205	SRX1611185	DNA library 158	2016-03-03	5422	2246	Brassica rapa	2016-03-04	SRR3201509	SRS1320494	Brassica rapa SamA_158	Caixin 26	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
300	SAMN04498206	SRX1611186	DNA library 159	2016-03-03	4582	1896	Brassica rapa	2016-03-04	SRR3201510	SRS1320495	Brassica rapa SamA_159	Caixin 27	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498207	SRX1611187	DNA library 160	2016-03-03	7160	2803	Brassica rapa	2016-03-04	SRR3201512	SRS1320496	Brassica rapa SamA_160	Caixin 28	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498064	SRX1611188	DNA library 17	2016-03-03	2250	1424	Brassica rapa	2016-03-04	SRR3201513	SRS1320497	Brassica rapa SamA_017	Chinese cabbage 17	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
291	SAMN04498208	SRX1611189	DNA library 161	2016-03-03	5339	2217	Brassica rapa	2016-03-04	SRR3201514	SRS1320498	Brassica rapa SamA_161	Caixin 29	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
285	SAMN04498209	SRX1611190	DNA library 162	2016-03-03	4224	1747	Brassica rapa	2016-03-04	SRR3201515	SRS1320499	Brassica rapa SamA_162	Caixin 30	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
286	SAMN04498210	SRX1611192	DNA library 163	2016-03-03	4053	1677	Brassica rapa	2016-03-04	SRR3201518	SRS1320500	Brassica rapa SamA_163	Zicaitai 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
284	SAMN04498211	SRX1611193	DNA library 164	2016-03-03	3578	1406	Brassica rapa	2016-03-04	SRR3201526	SRS1320501	Brassica rapa SamA_164	Zicaitai 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498212	SRX1611194	DNA library 165	2016-03-03	4921	1962	Brassica rapa	2016-03-04	SRR3201531	SRS1320502	Brassica rapa SamA_165	Zicaitai 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498214	SRX1611196	DNA library 167	2016-03-03	5331	2124	Brassica rapa	2016-03-04	SRR3201541	SRS1320503	Brassica rapa SamA_167	Zicaitai 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
289	SAMN04498213	SRX1611195	DNA library 166	2016-03-03	5049	2028	Brassica rapa	2016-03-04	SRR3201539	SRS1320504	Brassica rapa SamA_166	Zicaitai 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498216	SRX1611198	DNA library 169	2016-03-03	5348	2111	Brassica rapa	2016-03-04	SRR3201546	SRS1320505	Brassica rapa SamA_169	Zicaitai 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498215	SRX1611197	DNA library 168	2016-03-03	6201	2446	Brassica rapa	2016-03-04	SRR3201545	SRS1320506	Brassica rapa SamA_168	Zicaitai 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
149	SAMN04498065	SRX1611202	DNA library 18	2016-03-03	2151	1355	Brassica rapa	2016-03-04	SRR3201552	SRS1320508	Brassica rapa SamA_018	Chinese cabbage 18	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
292	SAMN04498217	SRX1611200	DNA library 170	2016-03-03	6496	2594	Brassica rapa	2016-03-04	SRR3201550	SRS1320509	Brassica rapa SamA_170	Zicaitai 8	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
288	SAMN04498218	SRX1611203	DNA library 171	2016-03-03	5167	2150	Brassica rapa	2016-03-04	SRR3201555	SRS1320510	Brassica rapa SamA_171	Zicaitai 9	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
